,name,country,gross,genre,year,star,runtime,score,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
703,Where the Heart Is,USA,33771174.0,Comedy,2000,Natalie Portman,120,6.8,PG-13,Rotten,35,97,Upright,76.0,32,34,63
3966,Couples Retreat,USA,109205660.0,Comedy,2009,Vince Vaughn,113,5.5,PG-13,Rotten,10,162,Spilled,39.0,43,17,145
873,Of Mice and Men,USA,5101632.0,Drama,1992,John Malkovich,115,7.5,PG-13,Fresh,97,29,Upright,82.0,7,28,1
1948,Belly,Jamaica,9630169.0,Crime,1998,Nas,96,6.0,R,Rotten,13,16,Upright,88.0,3,2,14
4084,Shutter Island,USA,128012934.0,Mystery,2010,Leonardo DiCaprio,138,8.1,R,Fresh,68,253,Upright,76.0,52,173,80
3939,The Twilight Saga: New Moon,USA,296623634.0,Adventure,2009,Kristen Stewart,130,4.6,PG-13,Rotten,28,226,Upright,61.0,54,63,163
3003,Starsky & Hutch,USA,88237754.0,Comedy,2004,Ben Stiller,101,6.1,PG-13,Fresh,62,193,Spilled,49.0,47,120,73
3306,The Prestige,USA,53089891.0,Drama,2006,Christian Bale,130,8.5,PG-13,Certified Fresh,76,197,Upright,92.0,48,149,48
1257,Greedy,USA,13145977.0,Comedy,1994,Michael J. Fox,113,6.2,PG-13,Rotten,28,18,Spilled,48.0,3,5,13
3236,Unleashed,France,24520892.0,Action,2005,Jet Li,103,7.0,NR,Fresh,75,8,Upright,72.0,3,6,2
3140,The Island,USA,35818913.0,Action,2005,Scarlett Johansson,136,6.9,R,Rotten,40,5,Spilled,51.0,0,2,3
292,A Fish Called Wanda,UK,63493712.0,Comedy,1988,John Cleese,108,7.6,R,Certified Fresh,94,62,Upright,84.0,13,58,4
4862,Gone Girl,USA,167767189.0,Crime,2014,Ben Affleck,149,8.1,R,Certified Fresh,87,348,Upright,87.0,63,303,45
2864,National Security,USA,35764982.0,Action,2003,Martin Lawrence,88,5.6,PG-13,Rotten,11,89,Spilled,45.0,29,10,79
351,Without a Clue,UK,8539181.0,Comedy,1988,Michael Caine,107,7.0,PG,Fresh,60,10,Upright,72.0,1,6,4
1086,Beethoven's 2nd,USA,53354166.0,Comedy,1993,Charles Grodin,89,4.8,PG,Rotten,23,13,Spilled,30.0,2,3,10
4933,That Awkward Moment,USA,26049082.0,Comedy,2014,Zac Efron,94,6.2,R,Rotten,22,138,Spilled,46.0,37,30,108
820,Poison,USA,609524.0,Drama,1991,Edith Meeks,85,6.5,NC17,Fresh,76,21,Upright,68.0,8,16,5
3703,RocknRolla,UK,5694401.0,Action,2008,Gerard Butler,114,7.3,R,Fresh,60,147,Upright,71.0,45,88,59
4965,Selma,UK,52076908.0,Biography,2014,David Oyelowo,128,7.5,PG-13,Certified Fresh,99,301,Upright,86.0,58,297,4
4435,Rampart,USA,969239.0,Crime,2011,Woody Harrelson,108,5.8,R,Certified Fresh,74,145,Spilled,35.0,40,108,37
1521,Stealing Beauty,Italy,4573330.0,Drama,1996,Jeremy Irons,118,6.6,R,Rotten,51,51,Upright,75.0,13,26,25
118,Playing for Keeps,USA,2669366.0,Comedy,1986,Daniel Jordano,102,4.1,PG-13,Rotten,4,90,Spilled,41.0,33,4,86
2068,The Thomas Crown Affair,USA,69304264.0,Crime,1999,Pierce Brosnan,113,6.8,R,Fresh,70,102,Upright,77.0,29,71,31
3027,Mean Creek,USA,603951.0,Crime,2004,Rory Culkin,90,7.3,R,Certified Fresh,89,124,Upright,82.0,37,110,14
5264,Captain Fantastic,USA,5875006.0,Comedy,2016,Viggo Mortensen,118,7.9,R,Certified Fresh,82,218,Upright,85.0,45,179,39
4110,The A-Team,USA,77222099.0,Action,2010,Liam Neeson,117,6.8,PG-13,Rotten,49,212,Upright,66.0,43,103,109
722,The Commitments,Ireland,14919570.0,Comedy,1991,Robert Arkins,118,7.6,R,Certified Fresh,88,43,Upright,90.0,11,38,5
3746,"Definitely, Maybe",UK,31973840.0,Comedy,2008,Ryan Reynolds,112,7.2,PG-13,Certified Fresh,70,147,Upright,72.0,40,103,44
4392,The Human Centipede II (Full Sequence),USA,122890.0,Horror,2011,Ashlynn Yennie,91,3.9,R,Rotten,29,82,Spilled,22.0,25,24,58
2030,The Green Mile,USA,136801374.0,Crime,1999,Tom Hanks,189,8.5,R,Certified Fresh,79,133,Upright,94.0,34,105,28
3748,The Bank Job,UK,30028592.0,Crime,2008,Jason Statham,111,7.3,R,Certified Fresh,79,146,Upright,74.0,39,116,30
3960,Bright Star,UK,4444637.0,Biography,2009,Abbie Cornish,119,7.0,PG,Certified Fresh,83,174,Upright,68.0,50,144,30
2172,Outside Providence,USA,7292175.0,Comedy,1999,Shawn Hatosy,96,6.4,R,Rotten,51,75,Upright,65.0,25,38,37
2191,The Out-of-Towners,USA,28535768.0,Comedy,1999,Steve Martin,90,5.3,PG-13,Fresh,60,15,Upright,68.0,2,9,6
2198,Grey Owl,UK,632617.0,Biography,1999,Pierce Brosnan,100,6.0,PG-13,Rotten,17,12,Spilled,56.0,2,2,10
3461,Fur: An Imaginary Portrait of Diane Arbus,USA,220914.0,Biography,2006,Nicole Kidman,122,6.5,R,Rotten,32,110,Upright,63.0,44,35,75
2738,Pinocchio,Italy,3684305.0,Comedy,2002,Roberto Benigni,108,4.2,G,Certified Fresh,100,51,Upright,73.0,9,51,0
938,Love Potion No. 9,USA,754935.0,Comedy,1992,Tate Donovan,92,5.6,PG-13,Rotten,27,11,Spilled,43.0,0,3,8
1172,Natural Born Killers,USA,50282766.0,Crime,1994,Woody Harrelson,118,7.3,R,Rotten,47,38,Upright,81.0,9,18,20
1494,Mission: Impossible,USA,180981856.0,Action,1996,Tom Cruise,110,7.1,PG-13,Fresh,63,57,Upright,71.0,21,36,21
2709,Laurel Canyon,USA,3663356.0,Drama,2002,Frances McDormand,103,6.4,R,Fresh,68,110,Spilled,52.0,33,75,35
678,Mountains of the Moon,USA,4011793.0,Adventure,1990,Patrick Bergin,136,7.3,R,Fresh,69,13,Upright,76.0,3,9,4
3702,The Curious Case of Benjamin Button,USA,127509326.0,Drama,2008,Brad Pitt,166,7.8,PG-13,Certified Fresh,71,247,Upright,80.0,51,176,71
3805,Sunshine Cleaning,USA,12062558.0,Comedy,2008,Amy Adams,91,6.9,R,Certified Fresh,74,174,Upright,63.0,47,129,45
2872,Party Monster,USA,728253.0,Biography,2003,Macaulay Culkin,98,6.3,R,Rotten,29,79,Upright,75.0,32,23,56
360,The Accidental Tourist,USA,32632093.0,Drama,1988,William Hurt,121,6.8,PG,Fresh,81,32,Upright,60.0,2,26,6
2637,Maid in Manhattan,USA,94011225.0,Comedy,2002,Jennifer Lopez,105,5.1,PG-13,Rotten,39,150,Spilled,43.0,40,58,92
5246,Silence,USA,7079191.0,Adventure,2016,Andrew Garfield,161,7.2,R,Certified Fresh,83,270,Upright,69.0,47,225,45
1786,Affliction,USA,6302154.0,Drama,1997,Nick Nolte,114,7.0,R,Certified Fresh,88,50,Upright,72.0,10,44,6
5005,Life After Beth,USA,80315.0,Comedy,2014,Aubrey Plaza,89,5.6,R,Rotten,44,95,Spilled,30.0,32,42,53
5276,Lights Out,USA,67235683.0,Horror,2016,Teresa Palmer,81,6.4,PG-13,Certified Fresh,76,173,Upright,61.0,36,132,41
5034,A Haunted House 2,USA,17329486.0,Comedy,2014,Marlon Wayans,86,4.7,R,Rotten,8,38,Spilled,43.0,16,3,35
1117,Fatal Instinct,USA,7852653.0,Comedy,1993,Armand Assante,91,5.7,PG-13,Rotten,18,22,Spilled,41.0,8,4,18
4610,Alex Cross,USA,25888412.0,Action,2012,Tyler Perry,101,5.1,PG-13,Rotten,11,124,Spilled,47.0,35,14,110
2406,Shrek,USA,267665011.0,Animation,2001,Mike Myers,90,7.9,PG,Certified Fresh,88,204,Upright,90.0,49,179,25
195,Throw Momma from the Train,USA,57915972.0,Comedy,1987,Danny DeVito,88,6.2,PG-13,Fresh,62,34,Spilled,54.0,6,21,13
178,Near Dark,USA,3369307.0,Action,1987,Adrian Pasdar,94,7.0,R,Certified Fresh,88,49,Upright,74.0,9,43,6
5109,Scouts Guide to the Zombie Apocalypse,USA,3635292.0,Action,2015,Tye Sheridan,93,6.3,R,Rotten,44,93,Spilled,48.0,20,41,52
3068,Bobby Jones: Stroke of Genius,USA,2694071.0,Biography,2004,Jim Caviezel,129,6.7,PG,Rotten,26,76,Upright,61.0,31,20,56
1909,Run Lola Run,Germany,7267585.0,Crime,1998,Franka Potente,81,7.7,R,Certified Fresh,93,82,Upright,90.0,20,76,6
979,Article 99,USA,6375979.0,Drama,1992,Ray Liotta,100,6.1,R,Rotten,43,14,Spilled,53.0,3,6,8
4801,Dark Skies,USA,17411930.0,Horror,2013,Keri Russell,97,6.3,PG-13,Rotten,41,92,Spilled,49.0,19,38,54
397,Hot to Trot,USA,6436211.0,Comedy,1988,Bobcat Goldthwait,100,4.4,PG,Rotten,0,16,Spilled,40.0,6,0,16
5161,Alvin and the Chipmunks: The Road Chip,USA,85886987.0,Animation,2015,Jason Lee,100,5.1,PG,Rotten,15,67,Spilled,51.0,20,10,57
2687,Hart's War,USA,19076815.0,Drama,2002,Bruce Willis,125,6.3,R,Rotten,59,123,Spilled,48.0,36,73,50
2227,Final Destination,USA,53331147.0,Horror,2000,Devon Sawa,98,6.7,R,Rotten,34,94,Upright,68.0,29,32,62
1329,Apollo 13,USA,173837933.0,Adventure,1995,Tom Hanks,140,7.6,PG,Certified Fresh,95,88,Upright,87.0,32,84,4
5297,Swiss Army Man,USA,4208879.0,Adventure,2016,Paul Dano,97,7.0,R,Fresh,71,201,Upright,72.0,36,142,59
2078,Boys Don't Cry,USA,11533945.0,Biography,1999,Hilary Swank,118,7.6,R,Certified Fresh,88,77,Upright,87.0,22,68,9
835,V.I. Warshawski,USA,11128309.0,Action,1991,Kathleen Turner,89,4.8,R,Rotten,21,24,Spilled,22.0,3,5,19
1754,Anna Karenina,USA,791830.0,Drama,1997,Sophie Marceau,108,6.4,R,Fresh,62,189,Spilled,50.0,47,118,71
1690,As Good as It Gets,USA,148478011.0,Comedy,1997,Jack Nicholson,139,7.7,PG-13,Certified Fresh,85,78,Upright,86.0,21,66,12
272,Beyond Therapy,USA,790000.0,Comedy,1987,Julie Hagerty,93,4.7,R,Rotten,25,8,Spilled,32.0,3,2,6
1977,Return to Paradise,USA,8288513.0,Drama,1998,Vince Vaughn,111,6.9,R,Fresh,71,45,Upright,74.0,13,32,13
547,Out Cold,USA,13903262.0,Comedy,2001,Flex Alexander,89,6.3,PG-13,Rotten,8,49,Upright,84.0,15,4,45
2446,Swordfish,USA,69772969.0,Action,2001,John Travolta,99,6.5,R,Rotten,26,138,Upright,60.0,37,36,102
2681,Showtime,USA,38082712.0,Action,2002,Robert De Niro,95,5.5,PG-13,Rotten,25,123,Spilled,25.0,34,31,92
792,Life Stinks,USA,4102526.0,Comedy,1991,Mel Brooks,92,5.8,PG-13,Rotten,18,17,Spilled,45.0,1,3,14
1878,Godzilla,USA,136314294.0,Action,1998,Matthew Broderick,139,5.3,PG-13,Rotten,16,76,Spilled,28.0,12,12,64
120,Nobody's Fool,USA,563358.0,Comedy,1986,Rosanna Arquette,107,5.5,R,Certified Fresh,91,54,Upright,81.0,18,49,5
5014,Camp X-Ray,USA,9837.0,Drama,2014,Kristen Stewart,117,7.0,R,Certified Fresh,75,59,Upright,63.0,21,44,15
4890,The Interview,USA,6105175.0,Comedy,2014,James Franco,112,6.6,R,Rotten,51,148,Spilled,48.0,34,76,72
3524,Sweeney Todd: The Demon Barber of Fleet Street,USA,52898073.0,Drama,2007,Johnny Depp,116,7.4,R,Certified Fresh,85,226,Upright,81.0,49,193,33
4611,The Sessions,USA,6002451.0,Biography,2012,John Hawkes,95,7.2,R,Certified Fresh,91,200,Upright,80.0,52,182,18
1785,Cats Don't Dance,USA,3562749.0,Animation,1997,Scott Bakula,75,6.9,G,Fresh,74,23,Upright,80.0,9,17,6
968,White Sands,USA,9011574.0,Action,1992,Willem Dafoe,101,6.0,R,Rotten,44,16,Spilled,42.0,2,7,9
2995,Around the World in 80 Days,USA,24008137.0,Action,2004,Jackie Chan,120,5.8,G,Fresh,71,38,Spilled,57.0,8,27,11
1350,A Little Princess,USA,10019307.0,Drama,1995,Liesel Matthews,97,7.7,G,Fresh,97,34,Upright,88.0,9,33,1
2173,Eye of the Beholder,Canada,16459004.0,Drama,1999,Ewan McGregor,109,4.9,R,Rotten,9,87,Spilled,32.0,22,8,79
3823,Ghajini,India,2411071.0,Action,2008,Aamir Khan,100,7.3,NR,Rotten,50,12,Upright,71.0,2,6,6
4092,Despicable Me,USA,251513985.0,Animation,2010,Steve Carell,95,7.7,PG,Certified Fresh,81,197,Upright,82.0,40,160,37
601,Hamlet,USA,20710451.0,Drama,1990,Mel Gibson,135,6.8,PG-13,Certified Fresh,95,56,Upright,90.0,13,53,3
3123,War of the Worlds,USA,234280354.0,Adventure,2005,Tom Cruise,116,6.5,PG-13,Certified Fresh,75,259,Spilled,42.0,51,194,65
3776,Doubt,USA,33422556.0,Drama,2008,Meryl Streep,104,7.5,PG-13,Certified Fresh,80,215,Upright,78.0,54,172,43
4756,Inside Llewyn Davis,USA,13235319.0,Drama,2013,Oscar Isaac,104,7.5,R,Certified Fresh,92,274,Upright,74.0,55,253,21
2205,Liberty Heights,USA,3732398.0,Drama,1999,Adrien Brody,127,7.1,R,Certified Fresh,85,48,Upright,76.0,13,41,7
630,Memphis Belle,UK,27441977.0,Action,1990,Matthew Modine,107,6.9,PG-13,Fresh,67,24,Upright,79.0,8,16,8
650,Heart Condition,USA,4134992.0,Comedy,1990,Bob Hoskins,100,5.6,R,Rotten,0,8,Spilled,34.0,2,0,8
3021,Thunderbirds,UK,6768055.0,Action,2004,Bill Paxton,95,4.2,PG,Rotten,19,106,Spilled,37.0,34,20,86
5343,Mother's Day,USA,32463917.0,Comedy,2016,Jennifer Aniston,118,5.6,R,Rotten,42,43,Spilled,52.0,10,18,25
4539,What to Expect When You're Expecting,USA,41152203.0,Comedy,2012,Cameron Diaz,110,5.7,PG-13,Rotten,23,133,Spilled,47.0,35,30,103
1307,Vanya on 42nd Street,USA,1746050.0,Comedy,1994,Wallace Shawn,119,7.5,PG,Fresh,89,36,Upright,80.0,10,32,4
647,The Field,Ireland,1414017.0,Drama,1990,Richard Harris,107,7.4,PG-13,Rotten,43,14,Upright,81.0,6,6,8
4025,Harry Brown,UK,1818681.0,Action,2009,Michael Caine,103,7.2,R,Fresh,62,125,Upright,75.0,40,78,47
1844,There's Something About Mary,USA,176484651.0,Comedy,1998,Ben Stiller,119,7.1,R,Certified Fresh,83,83,Upright,61.0,24,69,14
4454,Apollo 18,USA,17686929.0,Horror,2011,Warren Christie,86,5.2,PG-13,Rotten,24,72,Spilled,23.0,12,17,55
4378,Red State,USA,1104682.0,Action,2011,Michael Parks,88,6.2,R,Fresh,60,91,Spilled,54.0,14,55,36
4299,Green Lantern,USA,116601172.0,Action,2011,Ryan Reynolds,114,5.6,PG-13,Rotten,26,240,Spilled,45.0,48,62,178
3115,The Hitchhiker's Guide to the Galaxy,UK,51085416.0,Adventure,2005,Martin Freeman,109,6.8,PG,Fresh,60,198,Upright,65.0,40,119,79
1718,Private Parts,USA,41198146.0,Biography,1997,Howard Stern,109,6.8,R,Certified Fresh,75,53,Upright,68.0,14,40,13
2094,8MM,Germany,36663315.0,Mystery,1999,Nicolas Cage,123,6.5,R,Rotten,22,82,Spilled,52.0,23,18,64
1075,Look Who's Talking Now,USA,10340263.0,Comedy,1993,John Travolta,96,4.2,PG-13,Rotten,0,25,Spilled,29.0,7,0,25
3812,Shutter,USA,25926543.0,Horror,2008,Joshua Jackson,85,5.2,PG-13,Rotten,9,65,Spilled,33.0,13,6,59
2889,The Cooler,USA,8243880.0,Crime,2003,William H. Macy,101,7.0,R,Certified Fresh,77,173,Upright,69.0,41,133,40
2486,The Glass House,USA,18001232.0,Crime,2001,Diane Lane,106,5.8,PG-13,Rotten,21,86,Spilled,39.0,22,18,68
767,Slacker,USA,1228108.0,Comedy,1991,Richard Linklater,97,7.1,R,Fresh,86,35,Upright,77.0,7,30,5
3535,Ghost Rider,USA,115802596.0,Action,2007,Nicolas Cage,114,5.2,PG-13,Rotten,26,140,Spilled,48.0,29,37,103
3754,Death Race,USA,36316032.0,Action,2008,Jason Statham,105,6.4,R,Rotten,42,158,Upright,60.0,33,66,92
4472,Atlas Shrugged: Part I,USA,4752353.0,Drama,2011,Taylor Schilling,97,5.7,PG-13,Rotten,12,51,Upright,69.0,19,6,45
3600,Perfect Stranger,USA,23984949.0,Crime,2007,Halle Berry,109,5.7,R,Rotten,10,142,Spilled,51.0,42,14,128
2040,Star Wars: Episode I - The Phantom Menace,USA,474544677.0,Action,1999,Ewan McGregor,136,6.5,PG,Rotten,53,223,Spilled,59.0,63,119,104
4997,Jersey Boys,USA,47034272.0,Biography,2014,John Lloyd Young,134,6.8,R,Rotten,52,215,Upright,62.0,54,111,104
2661,Undisputed,USA,12398628.0,Action,2002,Wesley Snipes,100,6.2,R,Rotten,48,106,Spilled,47.0,34,51,55
474,Lock Up,USA,22099847.0,Crime,1989,Sylvester Stallone,109,6.4,R,Rotten,17,12,Spilled,50.0,0,2,10
3534,Bridge to Terabithia,USA,82272442.0,Adventure,2007,Josh Hutcherson,96,7.2,PG,Certified Fresh,85,157,Upright,70.0,37,133,24
1782,One Eight Seven,USA,5716080.0,Drama,1997,Samuel L. Jackson,119,6.7,R,Rotten,30,27,Upright,67.0,5,8,19
3969,Paul Blart: Mall Cop,USA,20819129.0,Action,2009,Kevin James,91,5.2,PG,Rotten,32,114,Spilled,43.0,34,37,77
519,Jacknife,USA,2049769.0,Drama,1989,Robert De Niro,102,6.4,R,Fresh,64,14,Spilled,46.0,1,9,5
5047,Maze Runner: The Scorch Trials,USA,81670090.0,Action,2015,Dylan O'Brien,131,6.3,PG-13,Rotten,46,147,Spilled,54.0,29,68,79
2959,A Cinderella Story,USA,51438175.0,Comedy,2004,Hilary Duff,95,5.9,PG,Rotten,12,104,Spilled,53.0,36,12,92
4920,The Drop,USA,10724389.0,Crime,2014,Tom Hardy,106,7.1,R,Certified Fresh,89,196,Upright,76.0,46,175,21
2384,What Planet Are You From?,USA,6291602.0,Comedy,2000,Garry Shandling,105,5.6,R,Rotten,42,77,Spilled,28.0,23,32,45
2672,Swimfan,USA,28563926.0,Drama,2002,Jesse Bradford,85,5.0,PG-13,Rotten,15,92,Spilled,32.0,21,14,78
4497,Snow White and the Huntsman,USA,155332381.0,Action,2012,Kristen Stewart,127,6.1,PG-13,Rotten,49,232,Spilled,52.0,49,114,118
4678,Man of Steel,USA,291045518.0,Action,2013,Henry Cavill,143,7.1,PG-13,Rotten,56,329,Upright,75.0,56,184,145
2516,Iris,UK,1292119.0,Biography,2001,Judi Dench,91,7.1,PG-13,Certified Fresh,98,98,Upright,80.0,27,96,2
277,Die Hard,USA,83008852.0,Action,1988,Bruce Willis,131,8.2,R,Certified Fresh,93,76,Upright,94.0,16,71,5
833,Strictly Business,USA,7683267.0,Comedy,1991,Tommy Davidson,100,5.4,PG-13,Rotten,10,10,Spilled,56.0,0,0,0
2652,Big Fat Liar,USA,47811275.0,Adventure,2002,Frankie Muniz,88,5.4,PG,Rotten,43,93,Spilled,44.0,23,40,53
405,It Takes Two,USA,19474589.0,Comedy,1995,Kirstie Alley,101,5.8,PG,Rotten,8,24,Upright,60.0,9,2,22
5302,Ouija: Origin of Evil,USA,34904885.0,Horror,2016,Elizabeth Reaser,99,6.1,PG-13,Certified Fresh,82,119,Spilled,57.0,24,98,21
2899,My Boss's Daughter,USA,15550605.0,Comedy,2003,Ashton Kutcher,86,4.7,PG-13,Rotten,8,73,Spilled,23.0,19,6,67
3473,The Namesake,USA,8661334.0,Drama,2006,Kal Penn,122,7.6,PG-13,Certified Fresh,86,133,Upright,79.0,43,115,18
3712,Gran Torino,Germany,148095302.0,Drama,2008,Clint Eastwood,116,8.2,R,Certified Fresh,81,232,Upright,90.0,55,187,45
734,My Own Private Idaho,USA,6401336.0,Drama,1991,River Phoenix,104,7.1,R,Certified Fresh,81,57,Upright,81.0,17,46,11
4649,Renoir,France,2291047.0,Biography,2012,Michel Bouquet,111,6.6,R,Fresh,72,68,Spilled,53.0,27,49,19
602,Hamlet,USA,20710451.0,Drama,1990,Mel Gibson,135,6.8,R,Rotten,57,89,Spilled,46.0,22,51,38
3720,27 Dresses,USA,76808654.0,Comedy,2008,Katherine Heigl,111,6.1,PG-13,Rotten,40,151,Spilled,57.0,41,61,90
4120,Nanny McPhee Returns,UK,29197642.0,Comedy,2010,Emma Thompson,109,6.1,PG,Certified Fresh,76,119,Spilled,55.0,35,90,29
2588,Minority Report,USA,132072926.0,Action,2002,Tom Cruise,145,7.7,PG-13,Certified Fresh,91,249,Upright,80.0,53,226,23
2723,Deuces Wild,USA,6044618.0,Action,2002,Stephen Dorff,96,5.6,R,Rotten,3,75,Spilled,51.0,24,2,73
3429,Gridiron Gang,USA,38432823.0,Crime,2006,Dwayne Johnson,125,6.9,PG-13,Rotten,42,100,Upright,81.0,29,42,58
2027,Fight Club,USA,37030102.0,Drama,1999,Brad Pitt,139,8.8,R,Certified Fresh,79,170,Upright,96.0,39,134,36
1236,In the Army Now,USA,28864707.0,Comedy,1994,Pauly Shore,91,4.8,PG,Rotten,6,32,Spilled,44.0,10,2,30
489,Chances Are,USA,16278590.0,Comedy,1989,Cybill Shepherd,108,6.4,PG,Fresh,67,30,Upright,65.0,7,20,10
814,The Marrying Man,USA,12454768.0,Comedy,1991,Kim Basinger,115,5.7,R,Rotten,10,21,Spilled,45.0,7,2,19
2369,Sordid Lives,USA,1111273.0,Comedy,2000,Delta Burke,111,6.8,R,Rotten,37,27,Upright,85.0,9,10,17
5330,Norman,Israel,3810812.0,Drama,2016,Richard Gere,118,6.3,R,Fresh,67,15,Spilled,58.0,10,10,5
260,The Squeeze,USA,2228951.0,Action,1987,Michael Keaton,101,4.6,PG-13,Rotten,17,6,Spilled,29.0,1,1,5
2720,New Best Friend,USA,28658.0,Drama,2002,Taye Diggs,91,5.3,R,Rotten,5,38,Spilled,39.0,12,2,36
390,Ernest Saves Christmas,USA,28202109.0,Comedy,1988,Jim Varney,95,5.6,PG,Rotten,36,14,Spilled,42.0,1,5,9
2420,Not Another Teen Movie,USA,38252284.0,Comedy,2001,Chyler Leigh,89,5.7,R,Rotten,29,99,Spilled,55.0,23,29,70
